id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm
8102,2020-03-31 09:44:03,多哥共和国,34,0,10,1,0,4.0,0.0,3.0,0.0,0.0,
8100,2020-03-31 00:00:31,哥斯达黎加,314,0,3,2,0,,,,,,
8105,2020-03-31 19:20:29,文莱,129,0,45,1,0,2.0,0.0,7.0,0.0,0.0,
8103,2020-03-31 00:00:31,法罗群岛,159,0,0,0,0,,,,,,
8104,2020-03-31 00:00:31,马提尼克岛,91,0,0,1,0,,,,,,
95120,2020-03-31 13:10:54,荷兰,11750,0,2500,864,0,884.0,0.0,0.0,93.0,0.0,
951234567,2020-03-31 09:41:40,巴西,4579,0,120,159,0,323.0,0.0,114.0,23.0,0.0,
8115,2020-03-31 09:05:47,洪都拉斯,139,0,3,3,0,29.0,0.0,3.0,2.0,0.0,
95394,2020-03-31 10:57:19,乌拉圭,320,0,6,1,0,10.0,0.0,0.0,0.0,0.0,
95390,2020-03-31 07:23:59,秘鲁,950,0,14,24,0,98.0,0.0,0.0,6.0,0.0,
956666,2020-03-31 07:23:15,智利,2449,0,156,8,0,310.0,0.0,81.0,1.0,0.0,
95389,2020-03-19 20:28:24,格陵兰,1,0,0,0,0,,0.0,,,0.0,
95382,2020-03-07 00:00:31,圣巴托洛谬岛,1,0,0,0,0,,0.0,,,0.0,
950101010,2020-03-31 19:19:46,马尔代夫,18,0,13,0,0,1.0,0.0,2.0,0.0,0.0,
95384,2020-03-31 00:00:31,委内瑞拉,119,0,39,3,0,,,,,,
8134,2020-03-30 10:37:50,毛里塔尼亚,5,0,2,0,0,,0.0,,,0.0,
8135,2020-03-29 03:57:49,纳米比亚,11,0,0,0,0,,0.0,,,0.0,
8132,2020-03-27 20:34:39,法属留尼汪岛,28,0,0,0,0,,0.0,,,0.0,
8133,2020-03-28 00:00:31,波多黎各,31,0,0,2,0,,0.0,,,0.0,
95732,2020-03-31 00:00:31,加纳,152,0,2,5,0,,,,,,
8136,2020-03-30 10:35:31,赤道几内亚,14,0,0,0,0,,0.0,,,0.0,
8130,2020-03-31 08:09:56,几内亚,22,0,1,0,0,6.0,0.0,0.0,0.0,0.0,
8131,2020-03-31 00:00:31,卢旺达,70,0,0,0,0,,,,,,
80001,2020-03-31 00:00:31,格林纳达,9,0,1,0,0,,,,,,
8129,2020-03-27 03:39:55,斯威士兰,8,0,0,0,0,,0.0,,,0.0,
8145,2020-03-31 15:17:27,坦桑尼亚,19,0,1,1,0,0.0,0.0,0.0,1.0,0.0,
8146,2020-03-27 00:00:31,贝宁,6,0,0,0,0,,0.0,,,0.0,
8143,2020-03-31 07:28:49,刚果（金）,98,0,3,8,0,17.0,0.0,0.0,0.0,0.0,
8144,2020-03-29 00:00:31,中非共和国,6,0,0,0,0,,0.0,,,0.0,
8147,2020-03-23 19:33:46,利比里亚,3,0,0,0,0,,0.0,,,0.0,
8148,2020-03-28 00:00:31,索马里,3,0,0,0,0,,0.0,,,0.0,
95XXXX,2020-03-31 00:00:31,乍得,5,0,0,0,0,,,,,,
8152,2020-03-31 00:00:31,赞比亚,35,0,0,0,0,,,,,,
