主演,5星,制片国家/地区,编剧,4星,类型,豆瓣评分,3星,上映日期,1星,2星,电影名称,片长
尼古拉斯·凯奇/艾玛·斯通/瑞安·雷诺兹/凯瑟琳·基纳/克劳斯·利特曼/克拉克·杜克/克里斯·桑德斯/兰迪·汤姆,48.60%,美国,克里斯·桑德斯/柯克·德·米科/约翰·克立斯,38.70%,喜剧/动画/冒险,8.7,11.70%,2013/4/20,0.20%,0.70%,疯狂原始人 The Croods,98分钟
丹尼尔·克雷格/朱迪·丹奇/哈维尔·巴登/拉尔夫·费因斯/娜奥米·哈里斯/贝纳尼丝·玛尔洛/阿尔伯特·芬尼/本·卫肖/罗里·金奈尔/奥拉·拉佩斯/海伦·麦克洛瑞/尼古拉斯·伍德森/Bill Buckhurst/Elize du Toit/伊恩 博纳,9.30%,英国 / 美国,尼尔·珀维斯/罗伯特·韦德/约翰·洛根,37.40%,动作/惊悚/犯罪/冒险,6.9,45.50%,2013/1/21,1.10%,6.70%,007：大破天幕杀机 Skyfall,143分钟
克里斯·派恩/扎克瑞·昆图/佐伊·索尔达娜/本尼迪克特·康伯巴奇/西蒙·佩吉/安东·叶利钦/卡尔·厄本/约翰·赵/布鲁斯·格林伍德/布兰登·诺曼/爱丽丝·伊芙/克里斯·海姆斯沃斯,25.70%,美国,艾里克斯·库兹曼/达蒙·林德洛夫/罗伯托·奥奇,48.60%,动作/科幻/冒险,7.9,23.10%,2013/5/28,0.50%,2.20%,星际迷航2：暗黑无界 Star Trek Into Darkness,132分钟
山姆·尼尔/劳拉·邓恩/杰夫·高布伦/理查德·阿滕伯勒/鲍勃·佩克/马丁·费雷罗/约瑟夫·梅泽罗/阿丽亚娜·理查兹/塞缪尔·杰克逊/黄荣亮/韦恩·奈特/杰拉尔德·R·莫伦/米盖尔·桑多瓦尔,24.70%,美国,迈克尔·克莱顿/大卫·凯普,50.70%,科幻/惊悚/冒险,8,22.70%,2013/8/20,0.30%,1.50%,侏罗纪公园 Jurassic Park,127 分钟
克里斯·海姆斯沃斯/娜塔莉·波特曼/汤姆·希德勒斯顿/安东尼·霍普金斯/克里斯托弗·埃克莱斯顿/杰米·亚历山大/扎克瑞·莱维/雷·史蒂文森/浅野忠信/伊德里斯·艾尔巴/蕾妮·罗素/阿德沃尔·阿吉纽依-艾格拜吉/凯特·戴琳斯/斯特兰·斯卡斯加德/艾丽丝·克里奇/克里夫·罗素/乔纳森·霍华德/克里斯·奥多德/妲露拉·莱莉/奥菲利亚·拉维邦德/本尼西奥·德尔·托罗/斯坦·李,14.90%,美国,克里斯托弗·约斯特/克里斯托弗·马库斯/斯蒂芬·麦克菲利/唐·佩恩/罗伯特·罗达特/斯坦·李/拉里·利伯/杰克·科比/沃尔特·西蒙森,42.90%,动作/奇幻/冒险,7.3,37.30%,2013/11/8,0.70%,4.20%,雷神2：黑暗世界 Thor: The Dark World,112分钟
道恩·强森/布鲁斯·威利斯/李秉宪/雷·帕克/阿德琳妮·帕里奇/D·J·科特罗纳/艾洛蒂·袁/查宁·塔图姆/乔纳森·普雷斯/雷·史蒂文森,6.10%,美国,略特·里斯/保罗·韦尼克,25.70%,动作/冒险,6.4,52.60%,2013/4/15,2.50%,13.10%,特种部队2：全面反击 G.I. Joe: Retaliation,107分钟(中国大陆)
伊恩·麦克莱恩/马丁·弗瑞曼/理查德·阿米蒂奇/肯·斯托特/格拉汉姆·麦克泰维什/詹姆斯·内斯比特/迪恩·奥戈曼/艾丹·特纳/雨果·维文/凯特·布兰切特/安迪·瑟金斯/西尔维斯特·迈可伊/克里斯托弗·李/伊利亚·伍德/伊安·霍姆/李·佩斯,32.50%,美国 / 新西兰,弗兰·威尔士/菲利帕·鲍恩斯/彼得·杰克逊/吉尔莫·德尔·托罗/J·R·R·托尔金,45.20%,动作/奇幻/冒险,8.1,19.50%,2013/2/22,0.60%,2.20%,霍比特人1：意外之旅 The Hobbit: An Unexpected Journey,169分钟
刘德华/姚晨/林家栋/胡军/吕良伟/姜皓文/黄德斌/梁烈唯/唐文龙/施祖男/尹子维/洪天照/王敏德 /王祖蓝/徐家杰/叶山豪/徐伟栋/张兆辉/陈保元/陈沛妍/黄智贤/卢海鹏/冼色丽,5.50%,香港 / 中国大陆,袁锦麟,26.00%,动作/犯罪,6.4,53.30%,2013/12/12,2.40%,12.60%,风暴 風暴,104分钟(中国大陆)
刘德华/林志玲/张静初/佟大为/斯琴高娃/奥马尔·本·哈依德/爱新觉罗·启星/石天琦/王曼妮/张光北,2.00%,中国大陆,孙健君,1.30%,动作/冒险,2.9,7.00%,2013/6/9,72.80%,16.90%,天机·富春山居图,122分钟
杨幂/柯震东/郭采洁/凤小岳/郭碧婷/谢依霖/陈学冬/王琳/李悦铭/商侃/姜潮/杜天皓/杨菲洋/丁巧唯,5.10%,中国大陆 / 台湾,郭敬明,10.50%,剧情/喜剧/爱情,4.9,34.00%,2013/8/8,25.60%,24.90%,小时代2：青木时代,116分钟
梁朝伟/章子怡/张震/宋慧乔/赵本山/小沈阳/王庆祥/张晋/卢海鹏/冯克安/刘家勇/张智霖/金士杰/徐锦江/刘洵/尚铁龙/罗莽/吴廷烨,26.60%,中国大陆 / 香港,邹静之/徐浩峰/王家卫,42.90%,剧情/动作/传记,7.8,24.80%,2013/1/8,1.40%,4.20%,一代宗师 一代宗師,111分钟(3D重映)
文章/李连杰/刘诗诗/陈妍希/柳岩/马伊琍/黄晓明/佟大为/冯德伦/吴京/邹兆龙/郑嘉颖/梁小龙/谢天华/张梓琳/邓丽欣/田亮/方力申/梁家仁/林雪/何超仪/林峰,2.40%,中国大陆,张炭,6.70%,喜剧/动作/犯罪,4.6,32.00%,2013/6/21,22.90%,36.00%,不二神探,98分钟
