,渠道代号,日均UV,平均注册率,平均搜索量,访问深度,平均停留时间,订单转化率,投放总时间,素材类型,广告类型,合作方式,广告尺寸,广告卖点
258,A20,0.07,0.0079,0.0,2.1587,813.25,0.068,1,swf,不确定,cpc,600*90,打折
259,A284,170.08,0.0,0.0001,1.23,212.62,0.0,24,swf,不确定,roi,600*90,打折
260,A285,769.74,0.0,0.0,1.3363,253.83,0.0,10,swf,不确定,roi,600*90,打折
261,A286,144.52,0.0,0.0001,2.0592,136.31,0.0002,8,swf,不确定,roi,600*90,打折
262,A287,102.3,0.0,0.0002,1.5622,180.64,0.0,11,swf,不确定,roi,600*90,打折
263,A288,280.38,0.0,0.0001,1.3405,235.54,0.0001,29,swf,不确定,roi,600*90,打折
264,A289,589.44,0.0,0.0001,1.4317,272.17,0.0,24,swf,不确定,roi,600*90,打折
265,A290,1135.49,0.0,0.0,1.3572,120.8,0.0,18,swf,不确定,roi,600*90,打折
266,A291,214.62,0.0001,0.0004,1.5784,133.23,0.0001,3,swf,不确定,roi,600*90,打折
267,A292,523.69,0.0,0.0001,1.2794,124.51,0.0,30,swf,不确定,roi,600*90,打折
268,A293,283.28,0.0001,0.0001,1.2761,92.92,0.0,18,swf,不确定,roi,600*90,打折
269,A294,145.6,0.0,0.0,1.005,74.21,0.0,1,swf,不确定,roi,600*90,打折
270,A295,7046.57,0.0017,0.0088,1.7672,221.22,0.008,5,swf,不确定,cpd,600*90,打折
271,A296,2.27,0.0,0.0,1.6053,160.45,0.0084,2,swf,不确定,cpd,600*90,打折
272,A297,1715.52,0.0,0.0,1.8602,221.3,0.0,17,swf,不确定,roi,600*90,打折
273,A298,238.67,0.0,0.0,1.4299,205.27,0.0,9,swf,不确定,roi,600*90,打折
274,A299,269.08,0.0,0.0001,1.3947,197.62,0.0001,18,swf,不确定,roi,600*90,打折
275,A3,305.5,0.0104,0.023,5.082,410.24,0.0117,9,swf,不确定,cpc,600*90,打折
276,A300,251.06,0.0,0.0,1.382,213.38,0.0,15,swf,不确定,roi,600*90,打折
277,A301,338.98,0.0005,0.0014,1.4833,332.64,0.0003,13,swf,不确定,roi,600*90,打折
278,A302,197.65,0.0,0.0,1.3619,188.61,0.0,29,swf,不确定,roi,600*90,打折
279,A303,328.88,0.0,0.0,1.3489,193.5,0.0,2,swf,不确定,roi,600*90,打折
280,A304,300.51,0.0,0.0001,1.3653,256.95,0.0,14,swf,不确定,roi,600*90,打折
281,A305,147.74,0.0,0.0002,1.3417,348.43,0.0,12,swf,不确定,roi,600*90,打折
282,A306,67.15,0.0186,0.0442,3.2373,379.45,0.0059,17,swf,不确定,roi,600*90,打折
283,A307,2.02,0.017,0.034,4.383,499.02,0.0165,29,swf,不确定,roi,600*90,打折
284,A308,854.1,0.0001,0.0002,1.4034,305.66,0.0001,27,swf,不确定,roi,600*90,打折
285,A309,406.28,0.0001,0.0002,2.3409,146.62,0.0001,22,swf,不确定,roi,600*90,打折
286,A310,651.86,0.0001,0.0004,1.6059999999999999,217.77,0.0001,25,swf,不确定,roi,600*90,打折
287,A311,102.38,0.0,0.0002,1.4001,109.16,0.0,4,swf,不确定,roi,600*90,打折
288,A312,104.74,0.0,0.0003,1.4206,111.76,0.0,22,swf,不确定,roi,600*90,打折
289,A313,97.54,0.0001,0.0005,1.9125,821.86,0.0002,21,swf,不确定,roi,600*90,打折
290,A314,199.34,0.0,0.0001,1.2386,70.4,0.0,21,swf,不确定,roi,600*90,打折
291,A315,144.78,0.0,0.0,2.16,167.53,0.0,18,swf,不确定,roi,600*90,打折
292,A316,39.87,0.0,0.0003,1.6008,183.48,0.0004,13,swf,不确定,roi,600*90,打折
293,A317,188.98,0.0,0.0001,1.4025,152.93,0.0,24,swf,不确定,roi,600*90,打折
294,A318,629.39,0.0,0.0,1.2791,123.42,0.0,22,swf,不确定,roi,600*90,打折
295,A319,344.39,0.0,0.0,1.2985,91.31,0.0,15,swf,不确定,roi,600*90,打折
296,A320,68.1,0.0,0.0003,1.2895,157.56,0.0,9,swf,不确定,roi,600*90,打折
297,A321,204.19,0.0003,0.0005,1.4165,110.77,0.0001,26,swf,不确定,roi,600*90,打折
298,A322,225.32,0.0093,0.055999999999999994,2.5971,341.32,0.0067,17,swf,不确定,roi,600*90,打折
299,A323,20.8,0.0077,0.0218,2.6558,274.39,0.0061,12,swf,不确定,roi,600*90,打折
300,A324,2.67,0.0,0.0241,3.1375,244.69,0.0009,20,swf,不确定,roi,600*90,打折
301,A325,0.89,0.0,0.6087,1.663,123.17,0.0027,4,swf,不确定,roi,600*90,打折
302,A326,1468.39,0.0,0.0029,1.6421,56.86,0.0001,20,swf,不确定,roi,600*90,打折
303,A327,1.01,0.0,0.0,1.0291,501.0,0.0,5,swf,不确定,roi,600*90,打折
304,A328,901.18,0.0,0.0028,1.6532,56.7,0.0001,10,swf,不确定,roi,600*90,打折
305,A329,465.33,0.0,0.003,1.4862,91.0,0.0001,24,swf,不确定,roi,600*90,打折
306,A330,602.09,0.0,0.0027,1.4340000000000002,46.42,0.0,24,swf,不确定,roi,600*90,打折
307,A331,600.82,0.0,0.0025,1.6191,75.3,0.0001,18,swf,不确定,roi,600*90,打折
308,A332,399.67,0.0001,0.0013,1.5959999999999999,71.23,0.0003,16,swf,不确定,roi,600*90,打折
309,A333,982.25,0.0001,0.0015,1.5626,60.05,0.0002,9,swf,不确定,roi,600*90,打折
310,A334,1532.41,0.0002,0.0003,1.6146,73.78,0.0002,28,swf,不确定,roi,600*90,打折
311,A335,803.43,0.0001,0.0043,1.5386,61.64,0.0003,23,swf,不确定,roi,600*90,打折
312,A336,342.46,0.0001,0.0026,1.5926,61.44,0.0002,3,swf,不确定,roi,600*90,打折
313,A337,10.89,0.0051,0.0536,1.9234,242.15,0.0052,25,swf,不确定,roi,600*90,打折
314,A338,1201.08,0.0005,0.0065,1.5939,150.12,0.0007,19,swf,不确定,roi,600*90,打折
315,A339,1370.23,0.0,0.0029,1.5876,64.37,0.0001,5,swf,不确定,roi,600*90,打折
316,A340,1.76,0.0,0.0,1.0056,155.5,0.0,8,swf,不确定,roi,600*90,打折
317,A341,1359.99,0.0001,0.0024,1.5742,75.32,0.0001,13,swf,不确定,roi,600*90,打折
318,A342,1546.1,0.0,0.002,1.4602,131.42,0.0001,30,swf,不确定,roi,600*90,打折
319,A343,1133.96,0.0,0.0016,1.5077,59.06,0.0001,16,swf,不确定,roi,600*90,打折
320,A344,667.23,0.0,0.0016,1.5677,72.96,0.0001,20,swf,不确定,roi,600*90,打折
321,A345,592.01,0.0002,0.0043,1.5847,68.78,0.0004,9,swf,不确定,roi,600*90,打折
322,A346,1368.76,0.0,0.003,1.5879,65.17,0.0002,24,swf,不确定,roi,600*90,打折
323,A347,1.53,0.0,0.0,1.0,,0.0,26,swf,不确定,roi,600*90,打折
324,A348,1469.64,0.0001,0.0026,1.4454,101.62,0.0001,12,swf,不确定,roi,600*90,打折
325,A349,1409.28,0.0005,0.0039,1.6130000000000002,87.3,0.0004,13,swf,不确定,roi,600*90,打折
326,A35,0.17,0.0,0.0,4.7791,283.99,0.0,25,jpg,不确定,roi,600*90,打折
327,A350,1136.97,0.0,0.0016,1.5033,67.41,0.0001,11,swf,不确定,roi,600*90,打折
328,A351,337.6,0.0001,0.0014,1.5732,78.72,0.0002,19,swf,不确定,roi,600*90,打折
329,A352,260.79,0.0001,0.001,1.5386,96.98,0.0001,21,swf,不确定,roi,600*90,打折
330,A353,619.46,0.0003,0.0008,1.5275,67.36,0.0001,17,swf,不确定,roi,600*90,满减
331,A354,396.46,0.0001,0.0006,1.5556,72.73,0.0001,26,swf,不确定,roi,600*90,满减
332,A355,2942.91,0.0002,0.0052,1.3733,216.56,0.0004,19,swf,不确定,roi,600*90,满减
333,A356,0.78,0.0,0.0127,1.0253,166.0,0.0,12,swf,不确定,roi,600*90,满减
334,A357,675.88,0.0,0.0024,1.652,55.56,0.0001,25,swf,不确定,roi,600*90,打折
335,A358,346.1,0.0,0.0026,1.4907,90.49,0.0001,22,swf,不确定,roi,600*90,打折
336,A359,450.74,0.0,0.0027,1.4395,46.92,0.0,22,swf,不确定,roi,600*90,打折
337,A360,446.52,0.0,0.0026,1.624,71.31,0.0001,10,swf,不确定,roi,600*90,打折
338,A361,836.44,0.0,0.0018,1.4841,136.51,0.0001,24,swf,不确定,roi,600*90,打折
339,A362,119.54,0.0,0.001,1.5585,71.16,0.0001,26,swf,不确定,roi,600*90,打折
340,A363,578.19,0.0,0.0012,1.4386,114.72,0.0001,27,swf,不确定,roi,600*90,打折
341,A364,878.2,0.0001,0.0011,1.5427,60.89,0.0001,22,swf,不确定,roi,600*90,打折
342,A365,1480.21,0.0001,0.001,1.5308,64.93,0.0002,11,swf,不确定,roi,600*90,打折
343,A366,1684.74,0.0001,0.0004,1.5536,74.94,0.0001,19,swf,不确定,roi,600*90,打折
344,A367,89.43,0.0001,0.001,1.3091,55.16,0.0001,14,swf,不确定,roi,600*90,满减
345,A368,393.62,0.0,0.0012,1.4425,142.97,0.0,29,swf,不确定,roi,600*90,满减
346,A369,1057.87,0.0002,0.0003,1.6017,71.27,0.0002,13,swf,不确定,roi,600*90,满减
347,A370,881.77,0.0,0.0012,1.5971,59.54,0.0001,20,swf,不确定,roi,600*90,满减
348,A371,996.42,0.0001,0.001,1.6045,60.41,0.0001,11,swf,不确定,roi,600*90,满减
349,A372,153.21,0.0,0.0008,1.6127,51.95,0.0001,20,swf,不确定,roi,600*90,满减
350,A373,258.32,0.0001,0.0007,1.574,57.9,0.0001,20,swf,不确定,roi,600*90,满减
351,A374,1012.55,0.0,0.0028,1.4911,47.19,0.0002,10,swf,不确定,roi,600*90,满减
352,A375,489.81,0.0,0.0041,1.6446,56.97,0.0002,8,swf,不确定,roi,600*90,满减
353,A376,742.15,0.0,0.0025,1.6568,59.39,0.0001,11,swf,不确定,roi,600*90,打折
354,A377,0.75,0.0,0.0,1.0,,0.0,20,swf,不确定,roi,600*90,打折
355,A378,224.31,0.0,0.0025,1.5366,85.94,0.0001,22,swf,不确定,roi,600*90,打折
356,A379,324.36,0.0022,0.0214,2.0138,164.84,0.0023,9,swf,不确定,roi,600*90,打折
357,A380,384.98,0.0006,0.0051,1.6848,81.95,0.0005,11,swf,不确定,roi,600*90,打折
358,A381,267.21,0.0,0.0018,1.4446,157.97,0.0002,15,swf,不确定,roi,600*90,打折
359,A382,295.91,0.0,0.0014,1.4185,123.42,0.0001,23,swf,不确定,roi,600*90,满减
360,A4,1189.39,0.0004,0.0027,1.37,478.29,0.0005,1,swf,不确定,cpc,600*90,打折
361,A45,226.54,0.0026,0.004,1.4799,289.12,0.0012,12,swf,不确定,cpd,600*90,打折
362,A46,59.13,0.0003,0.0033,1.2975,224.8,0.0006,18,swf,不确定,cpd,600*90,打折
363,A47,55.88,0.0002,0.004,1.3373,215.93,0.0002,28,swf,不确定,cpd,600*90,打折
364,A48,9.1,0.0,0.0073,2.1897,455.43,0.0029,24,swf,不确定,cpd,600*90,打折
365,A5,1117.88,0.0004,0.0027,1.4559,440.44,0.0007,28,swf,不确定,cpc,600*90,打折
366,A550,1.92,0.005,0.025,2.7,321.48,0.0012,15,swf,不确定,cpc,600*90,满赠
367,A551,0.18,0.0,0.0,6.4211,388.22,0.0265,16,swf,不确定,cpc,600*90,满赠
368,A552,0.49,0.0125,0.0,6.9125,284.79,0.1409,11,swf,不确定,cpc,600*90,满赠
369,A59,0.65,0.0,0.0972,2.2222,241.41,0.0,16,swf,不确定,cpd,600*90,打折
370,A6,1063.37,0.0005,0.0012,1.2821,476.98,0.0005,29,swf,不确定,cpc,600*90,打折
371,A60,0.73,0.0,0.1519,2.2025,198.4,0.0,16,swf,不确定,cpd,600*90,打折
372,A61,1.44,0.0,0.1216,1.6486,352.47,0.0017,3,swf,不确定,cpd,600*90,打折
373,A62,0.99,0.0,0.0826,2.4545,397.95,0.0,26,swf,不确定,cpd,600*90,打折
374,A63,72.35,0.0012,0.0043,1.5359,269.37,0.0006,26,swf,不确定,cpd,600*90,打折
375,A64,62.3,0.0005,0.0034,1.5254,266.89,0.0004,24,swf,不确定,cpd,600*90,打折
376,A65,78.21,0.0004,0.0042,1.5859999999999999,294.97,0.0008,21,swf,不确定,cpd,600*90,打折
377,A66,51.75,0.0028,0.0069,1.8624,390.41,0.0028,25,swf,不确定,cpd,600*90,打折
378,A67,21.94,0.0027,0.0036,1.3719999999999999,269.4,0.0002,3,swf,不确定,cpd,600*90,打折
379,A68,64.6,0.0003,0.0044,1.4722,267.0,0.0003,24,swf,不确定,cpd,600*90,打折
380,A685,1218.94,0.0018,0.0048,1.6414,381.58,0.0004,17,swf,不确定,roi,600*90,直降
381,A689,26.75,0.0,0.0782,1.8645,513.57,0.0002,11,swf,不确定,roi,600*90,直降
382,A69,117.45,0.0009,0.0037,1.8305,335.47,0.0028,27,swf,不确定,cpd,600*90,打折
383,A690,69.35,0.0001,0.0761,1.8563,725.85,0.0013,29,swf,不确定,roi,600*90,直降
384,A691,8.29,0.0011,0.0997,1.9398,532.84,0.0014,17,swf,不确定,roi,600*90,直降
385,A692,72.51,0.0006,0.1078,1.7832,690.57,0.0005,11,swf,不确定,roi,600*90,直降
386,A693,20.33,0.0031,0.1009,1.8688,768.77,0.0026,23,swf,不确定,roi,600*90,直降
387,A694,1136.77,0.0045,0.1007,2.7114,552.17,0.005,6,swf,不确定,cpd,600*90,直降
388,A695,0.66,0.0,0.7802,2.4835,243.51,0.0,30,swf,不确定,roi,600*90,直降
389,A696,0.96,0.0,0.9394,2.5909,311.92,0.0,11,swf,不确定,roi,600*90,直降
390,A697,29.9,0.0,0.0812,1.6649,673.9,0.0001,30,swf,不确定,roi,600*90,直降
391,A698,88.41,0.0003,0.0758,1.7988,616.85,0.0009,25,swf,不确定,roi,600*90,直降
392,A699,30.03,0.0009,0.0872,1.6901,572.08,0.0001,27,swf,不确定,roi,600*90,直降
393,A7,3.11,0.0052,0.4031,2.7881,313.81,0.0054,13,swf,不确定,cpc,600*90,打折
394,A70,109.16,0.0012,0.003,1.9749,360.02,0.0007,13,swf,不确定,cpd,600*90,打折
395,A700,111.35,0.001,0.0852,2.0015,526.58,0.0008,30,swf,不确定,roi,600*90,直降
396,A701,77.85,0.0008,0.0544,1.7753,530.35,0.0026,28,swf,不确定,roi,600*90,直降
397,A702,42.9,0.0004,0.0779,1.7904,554.1,0.0007,13,swf,不确定,roi,600*90,直降
398,A703,1.64,0.0,0.1908,4.458,1123.75,0.0218,14,swf,不确定,roi,600*90,直降
399,A704,1.63,0.0,0.6049,3.4585,451.3,0.0088,14,swf,不确定,roi,600*90,直降
400,A705,2.71,0.0,0.6042,3.1484,502.25,0.0053,17,swf,不确定,roi,600*90,直降
401,A706,0.94,0.0091,0.6909,2.6545,331.6,0.0,9,swf,不确定,roi,600*90,直降
402,A707,1.71,0.0,0.6406,2.6544,308.71,0.0056,21,swf,不确定,roi,600*90,直降
403,A708,1.79,0.0125,0.575,3.9458,402.23,0.0133,26,swf,不确定,roi,600*90,直降
404,A709,82.15,0.0007,0.027000000000000003,1.1681,492.83,0.0002,14,swf,不确定,roi,600*90,直降
405,A71,36.84,0.0016,0.004,1.7388,349.98,0.0006,17,swf,不确定,cpd,600*90,打折
406,A710,236.71,0.0005,0.0252,1.1278,422.25,0.0003,29,swf,不确定,roi,600*90,直降
407,A711,80.21,0.0007,0.0248,1.2758,372.19,0.0004,26,swf,不确定,roi,600*90,直降
408,A712,115.09,0.0016,0.0512,1.8003,317.08,0.001,15,swf,不确定,roi,600*90,直降
409,A713,405.54,0.0003,0.0261,1.1573,507.82,0.0002,16,swf,不确定,roi,600*90,直降
410,A714,368.15,0.0001,0.0289,1.1453,444.78,0.0005,16,swf,不确定,roi,600*90,直降
411,A715,98.09,0.0,0.0322,1.1556,491.25,0.0003,2,swf,不确定,roi,600*90,直降
412,A72,14.8,0.008,0.0046,1.9072,447.55,0.0019,15,swf,不确定,cpd,600*90,打折
413,A722,0.23,0.0,0.0,4.3333,329.51,0.0725,5,swf,不确定,cpd,600*90,直降
414,A723,0.11,0.0,0.0222,9.4333,804.01,0.2165,5,swf,不确定,cpd,600*90,直降
415,A724,4.75,0.0033,0.3719,3.995,389.79,0.008,28,swf,不确定,cpd,600*90,直降
416,A73,22.65,0.0009,0.0013,1.5255,293.41,0.0008,16,swf,不确定,cpd,600*90,打折
417,A74,61.58,0.0006,0.0041,1.5803,324.65,0.0005,16,swf,不确定,cpd,600*90,打折
418,A75,6.61,0.0088,0.0058,2.1974,482.07,0.0025,25,swf,不确定,cpd,600*90,打折
419,A765,31.75,0.0,0.0,2.0019,250.23,0.0,8,swf,不确定,roi,600*90,直降
420,A766,122.69,0.0,0.0,2.0321,184.13,0.0,29,swf,不确定,roi,600*90,直降
421,A767,1680.85,0.0074,0.0876,2.6838,356.09,0.0113,15,swf,不确定,cpd,600*90,直降
422,A768,4.62,0.0063,0.8701,4.1252,797.91,0.0124,2,swf,不确定,roi,600*90,直降
423,A769,48.84,0.0,0.0,2.0648,282.41,0.0,27,swf,不确定,roi,600*90,直降
424,A770,392.66,0.0,0.0,2.1555,258.4,0.0,9,swf,不确定,roi,600*90,直降
425,A771,451.06,0.0,0.0,2.0421,188.43,0.0,9,swf,不确定,roi,600*90,直降
426,A772,241.59,0.0,0.0,2.2202,253.5,0.0,14,swf,不确定,roi,600*90,直降
427,A773,525.75,0.0,0.0,2.021,252.09,0.0,15,swf,不确定,roi,600*90,直降
428,A774,197.59,0.0,0.0,2.0991,297.26,0.0,4,swf,不确定,roi,600*90,直降
429,A775,876.45,0.0,0.0,2.0228,326.46,0.0,16,swf,不确定,roi,600*90,直降
430,A776,716.67,0.0,0.0,2.2846,236.66,0.0,29,swf,不确定,roi,600*90,直降
431,A777,192.63,0.0,0.0,2.1933,286.13,0.0,30,swf,不确定,roi,600*90,直降
432,A778,323.36,0.0,0.0007,2.1823,178.28,0.0,16,swf,不确定,roi,600*90,直降
433,A779,803.04,0.0,0.0017,2.4799,149.81,0.0,30,swf,不确定,roi,600*90,直降
434,A780,559.37,0.0,0.0007,2.123,94.46,0.0,30,swf,不确定,roi,600*90,直降
435,A781,64.76,0.0,0.0,1.9951,256.57,0.0,12,swf,不确定,roi,600*90,直降
436,A782,116.99,0.0,0.0,2.0305,183.96,0.0,24,swf,不确定,roi,600*90,直降
437,A783,645.58,0.0,0.0,2.1543,231.31,0.0001,7,swf,不确定,roi,600*90,直降
438,A784,386.23,0.0,0.0,2.0153,308.77,0.0,15,swf,不确定,roi,600*90,直降
439,A785,283.03,0.0001,0.0,2.1235,328.11,0.0001,24,swf,不确定,roi,600*90,直降
440,A786,935.84,0.0,0.0,2.0259,314.37,0.0,27,swf,不确定,roi,600*90,直降
441,A787,733.91,0.0,0.0001,2.1692,222.04,0.0,21,swf,不确定,roi,600*90,直降
442,A788,154.99,0.0001,0.0,2.0652,246.43,0.0002,20,swf,不确定,roi,600*90,直降
443,A789,573.99,0.0,0.0016,2.4101,253.02,0.0,4,swf,不确定,roi,600*90,直降
444,A790,568.75,0.0,0.0018,2.4239,112.6,0.0,22,swf,不确定,roi,600*90,直降
445,A791,1434.15,0.0,0.0027,1.406,218.51,0.0,26,swf,不确定,roi,600*90,直降
446,A792,1166.81,0.0001,0.001,1.7227,129.32,0.0,12,swf,不确定,roi,600*90,直降
447,A793,11.85,0.006999999999999999,0.6776,3.0425,486.8,0.006999999999999999,13,swf,不确定,roi,600*90,直降
448,A794,2.46,0.0188,0.0875,3.975,645.35,0.0184,14,swf,不确定,roi,600*90,直降
449,A795,1.06,0.0245,0.4663,3.9755,621.63,0.0157,14,swf,不确定,cpd,600*90,直降
450,A796,273.45,0.0,0.0,2.0382,187.23,0.0,6,swf,不确定,roi,600*90,直降
451,A797,468.49,0.0,0.0,2.1511,229.68,0.0,30,swf,不确定,roi,600*90,直降
452,A798,151.78,0.0,0.0,2.1131,327.71,0.0001,20,swf,不确定,roi,600*90,直降
453,A799,430.4,0.0,0.0,1.9811,332.93,0.0001,9,swf,不确定,roi,600*90,直降
454,A8,0.77,0.0115,0.4138,2.2299,191.35,0.0,2,swf,不确定,cpc,600*90,打折
455,A800,881.65,0.0,0.0,2.122,232.79,0.0,13,swf,不确定,roi,600*90,直降
456,A801,526.27,0.0,0.0,2.1132,300.4,0.0,10,swf,不确定,roi,600*90,直降
457,A802,369.87,0.0,0.0012,2.1813,196.3,0.0002,15,swf,不确定,roi,600*90,直降
458,A803,91.08,0.0,0.0,2.1698,242.23,0.0,3,swf,不确定,roi,600*90,直降
459,A804,124.99,0.0,0.0,2.0332,185.72,0.0,19,swf,不确定,roi,600*90,直降
460,A805,123.17,0.0,0.0,2.0698,266.7,0.0,11,swf,不确定,roi,600*90,直降
461,A806,466.87,0.0,0.0014,2.0575,213.56,0.0,1,swf,不确定,roi,600*90,直降
462,A807,497.7,0.0,0.0017,2.4297,89.53,0.0,23,swf,不确定,roi,600*90,直降
463,A808,533.73,0.0,0.0004,2.0839,85.83,0.0,2,swf,不确定,roi,600*90,直降
464,A809,580.53,0.0,0.0,2.1909,241.37,0.0,4,swf,不确定,roi,600*90,直降
465,A810,714.43,0.0,0.0006,1.9956,211.52,0.0,26,swf,不确定,roi,600*90,直降
466,A811,317.57,0.0,0.0,2.0904,299.88,0.0,26,swf,不确定,roi,600*90,直降
467,A812,558.48,0.0,0.001,2.5033,172.26,0.0,28,swf,不确定,roi,600*90,直降
468,A813,2200.39,0.0,0.0026,1.5730000000000002,218.53,0.0,24,swf,不确定,roi,600*90,直降
469,A814,604.84,0.0,0.0004,2.2709,122.73,0.0,25,swf,不确定,roi,600*90,秒杀
470,A815,715.77,0.0,0.0,2.0563,253.99,0.0,28,swf,不确定,roi,600*90,秒杀
471,A816,2167.97,0.0,0.0,2.0895,376.69,0.0,24,swf,不确定,roi,600*90,秒杀
472,A817,394.3,0.0,0.0,2.6812,344.62,0.0,26,swf,不确定,roi,600*90,秒杀
473,A818,609.12,0.0001,0.0005,2.9256,335.58,0.0001,28,swf,不确定,roi,600*90,秒杀
474,A819,386.16,0.0,0.0003,2.5766,159.34,0.0,21,swf,不确定,roi,600*90,秒杀
475,A820,67.24,0.0,0.0003,2.1527,258.95,0.0,10,swf,不确定,roi,600*90,秒杀
476,A821,121.94,0.0,0.0001,2.0297,184.99,0.0,16,swf,不确定,roi,600*90,秒杀
477,A822,46.92,0.0,0.0,1.9105,197.56,0.0,15,swf,不确定,roi,600*90,秒杀
478,A823,133.72,0.0,0.0,1.9878,291.94,0.0,23,swf,不确定,roi,600*90,秒杀
479,A824,339.39,0.0,0.001,1.9986,200.04,0.0,13,swf,不确定,roi,600*90,秒杀
480,A828,19.64,0.0,0.0753,1.8636,156.3,0.0019,22,jpg,不确定,roi,600*90,秒杀
481,A829,1.12,0.0,0.1278,1.5789,129.15,0.0,28,jpg,不确定,roi,600*90,秒杀
482,A830,14.04,0.0,0.02,1.7465,124.91,0.0002,30,jpg,不确定,roi,600*90,满赠
483,A831,25.48,0.0,0.0075,2.099,142.16,0.0004,27,jpg,不确定,roi,600*90,满赠
484,A832,16.34,0.0,0.0189,1.8854,157.41,0.0001,14,jpg,不确定,roi,600*90,满赠
485,A833,3.96,0.0,0.0019,1.5364,125.04,0.0012,21,jpg,不确定,roi,600*90,满赠
486,A834,0.76,0.0,1.037,1.3086,236.06,0.0,14,jpg,不确定,roi,600*90,满赠
487,A835,1.43,0.0,0.1341,6.067,630.79,0.0666,21,jpg,不确定,roi,600*90,满赠
488,A836,26.64,0.0,0.0041,2.8518,282.28,0.0,22,jpg,不确定,roi,600*90,满赠
489,A837,2.59,0.0,0.0147,2.2198,144.09,0.0028,28,jpg,不确定,roi,600*90,满赠
490,A838,14.87,0.0005,0.002,1.9985,196.04,0.0026,20,jpg,不确定,roi,600*90,满赠
491,A839,49.73,0.0,0.0008,2.3221,42.84,0.0,13,jpg,不确定,roi,600*90,满赠
492,A840,176.58,0.0,0.0017,2.3496,38.59,0.0,28,jpg,不确定,roi,600*90,满赠
493,A841,416.84,0.0,0.0018,2.3554,38.78,0.0001,19,jpg,不确定,roi,600*90,满赠
494,A842,408.11,0.0,0.0013,2.2521,38.21,0.0,20,jpg,不确定,roi,600*90,满赠
495,A843,6.06,0.0,0.0,2.275,201.35,0.0012,12,jpg,不确定,roi,600*90,满赠
496,A862,0.79,0.0,0.0,2.8354,66.37,0.0,14,jpg,不确定,roi,600*90,秒杀
497,A863,0.72,0.0,0.4805,1.6883,467.18,0.0,11,jpg,不确定,roi,600*90,秒杀
498,A864,0.76,0.0,0.0117,10.1211,1005.39,0.0909,27,jpg,不确定,roi,600*90,秒杀
499,A865,1741.81,0.0001,0.0022,2.4836,98.39,0.0,18,jpg,不确定,roi,600*90,秒杀
500,A866,6098.97,0.0003,0.0077,2.421,140.04,0.0009,4,jpg,不确定,roi,600*90,秒杀
501,A867,172.62,0.0002,0.0032,2.8346,303.85,0.0002,5,jpg,不确定,roi,600*90,秒杀
502,A868,10.42,0.0,0.0028,2.7075,277.46,0.0,20,jpg,不确定,roi,600*90,秒杀
503,A869,20.94,0.0,0.0042,2.6971,275.51,0.0001,10,jpg,不确定,roi,600*90,秒杀
504,A870,848.12,0.0002,0.0057,3.0121,308.63,0.0005,15,jpg,不确定,roi,600*90,秒杀
505,A871,65.09,0.0022,0.0461,3.6031,310.8,0.004,30,jpg,不确定,roi,600*90,秒杀
506,A872,52.41,0.0002,0.0015,2.8241,250.8,0.0,6,jpg,不确定,roi,600*90,秒杀
507,A873,417.27,0.0,0.0066,2.7978,281.09,0.0004,18,jpg,不确定,roi,600*90,秒杀
508,A874,386.96,0.0012,0.0193,3.1531,250.27,0.0049,10,jpg,不确定,roi,600*90,秒杀
509,A875,8.16,0.0047,0.0198,1.8884,232.34,0.002,29,jpg,不确定,roi,600*90,秒杀
510,A876,1008.22,0.0003,0.0047,2.2518,71.82,0.0009,30,jpg,不确定,roi,600*90,秒杀
511,A877,87.49,0.0,0.0016,2.2137,44.81,0.0001,11,jpg,不确定,roi,600*90,秒杀
512,A878,40.21,0.0,0.0027,2.184,39.11,0.0,6,jpg,不确定,roi,600*90,秒杀
513,A879,152.22,0.0001,0.0029,2.2023,93.46,0.0,6,jpg,不确定,roi,600*90,秒杀
514,A880,91.79,0.0053,0.024,3.7476,541.15,0.0142,22,jpg,不确定,roi,600*90,秒杀
515,A881,1488.17,0.0014,0.0071,2.1687,145.95,0.0029,3,jpg,不确定,roi,480*360,秒杀
516,A9,4.97,0.0057,0.2702,5.5553,465.83,0.0244,24,swf,不确定,cpc,600*90,打折
517,A97,0.61,0.0096,0.0962,5.9712,917.39,0.0351,28,swf,不确定,cpm,600*90,打折
518,A98,1.2,0.0,0.44799999999999995,2.0,219.0,0.0,15,swf,不确定,cpm,600*90,打折
519,A99,16516.13,0.0009,0.0059,1.7708,531.53,0.0019,10,swf,不确定,cpm,600*90,打折
520,A108,162.88,0.0,0.0,1.0077,22.92,0.0,6,jpg,横幅,cpm,600*90,直降
521,A109,9.99,0.0,0.001,1.0090000000000001,18.77,0.0,10,jpg,横幅,cpm,600*90,直降
522,A110,502.84,0.0001,0.0,1.0149,38.92,0.0,19,jpg,横幅,cpm,600*90,直降
523,A111,168.31,0.0,0.0002,1.023,77.98,0.0001,2,jpg,横幅,cpm,600*90,直降
524,A112,32.76,0.0,0.0003,1.0387,96.85,0.0,30,jpg,横幅,cpm,600*90,直降
525,A113,139.99,0.0003,0.0001,1.0344,114.88,0.0001,16,jpg,横幅,cpm,600*90,直降
526,A116,4.78,0.005,0.4908,3.7002,489.25,0.008,9,jpg,横幅,cpc,600*90,直降
527,A117,5.1,0.003,0.5342,4.631,451.28,0.0135,9,jpg,横幅,cpc,600*90,直降
